SYMBOL,CUSIP,DESCRIPTION
A,00846U101,"AGILENT TECHNOLOGIES, INC"
AA,13872106,ALCOA UPSTREAM CORP COM STK(DE
AAA,46144X610,INVSTMNT MANGRS SER TR II ALTR
AAAU,38150K103,GOLDMAN SACHS PHYSICAL GOLD ET
AABB,04518L100,ASIA BROADBAND INC
AACG,00211V106,ATA CREATIVITY GLOBAL SPONSORE
AACI,04208V103,ARMADA ACQUISITION CORP I COM 
AACIW,04208V111,ARMADA ACQUISITION CORP I WT E
AACTWS,G33033120,ARES ACQUISITION CORP II WT EX
AADI,00032Q104,AADI BIOSCIENCE INC COM (DE)
AADR,00768Y206,ADVISORSHARES DORSEY WRIGHT AD
AAGC,01643V102,ALL AMERICAN GOLD CORP COM STK
AAGFF,00831V205,AFTERMATH SILVER LTD (CANADA) 
AAGIY,1317205,AIA GROUP LTD SPONSORED ADR HO
AAGR,00792J100,AFRICAN AGRICULTURE HLDGS INC 
AAIRF,02377G204,AMERICAN AIRES INC COM NEW (CA
AAL,02376R102,AMERICAN AIRLINES GROUP INC CO
AAMMF,02028L107,ALMADEX MINERALS LTD NEW
AAMTF,41904103,ARMADA MERCANTILE LTD (F)
AAOI,03823U102,APPLIED OPTOELECTRONICS INC CO
AAON,360206,AAON INC
AAP,00751Y106,ADVANCE AUTO PARTS INC
AAPB,38747R884,GRANITESHARES ETF TR
AAPD,25461A304,DIREXION SHS ETF TR DAILY AAPL
AAPL,37833100,APPLE INC
AAPR,45783Y335,ABBOTT LABS
AAPU,25461A874,AMAZON COM INC
AAPX,26923N629,BOEING CO
AAPY,78433H725,BAXTER INTL INC
AAT,24013104,CATERPILLAR INC
AATC,53306106,CEVA INC
AAVMY,00080Q105,COLGATE-PALMOLIVE
AAVVF,00791P107,CONOCOPHILLIPS
AAWH,04351N106,CISCO SYSTEMS
AAXJ,464288182,FORD MOTOR CO
AB,01881G106,FOOT LOCKER INC
ABAT,02451V309,GOODYEAR TIRE&RUBR
ABBNY,375204,INTEL CORP
ABBRF,00379L106,ELI LILLY AND CO
ABBV,00287Y109,MONDELEZ INTL INC
ABCB,03076K108,3M COMPANY
ABCFF,2555506,MERCK & CO INC
ABCL,00288U106,MICROSOFT CORP
ABCS,02072L284,PEPSICO INC
ABEO,00289Y206,PFIZER INC
ABEPF,92837C109,PROCTER & GAMBLE
ABEQ,90470L568,PHILIP MORRIS INTL
ABG,43436104,UNISYS CORP
ABIO,00211Y506,ARCA BIOPHARMA INC COM PAR $.0
ABL,00258Y104,ABACUS LIFE INC CL A
